packet_size,protocol,duration,network,label
74,TCP,1755622025.452738,good,reel
86,TCP,1755622025.455504,good,reel
86,TCP,1755622025.468313,good,reel
54,TCP,1755622025.504433,good,reel
1414,TCP,1755622025.504472,good,reel
1414,TCP,1755622025.504472,good,reel
54,TCP,1755622025.583817,good,reel
74,TCP,1755622025.583817,good,reel
74,TCP,1755622025.583817,good,reel
1414,TCP,1755622025.583869,good,reel
1414,TCP,1755622025.583869,good,reel
1414,TCP,1755622025.583869,good,reel
54,TCP,1755622025.609945,good,reel
1414,TCP,1755622025.610072,good,reel
1414,TCP,1755622025.610072,good,reel
192,TCP,1755622025.644517,good,reel
54,TCP,1755622025.658244,good,reel
1414,TCP,1755622025.658282,good,reel
1414,TCP,1755622025.658282,good,reel
1414,TCP,1755622025.658282,good,reel
74,TCP,1755622025.671794,good,reel
113,TCP,1755622025.671794,good,reel
75,TCP,1755622025.67603,good,reel
86,TCP,1755622025.689454,good,reel
54,TCP,1755622025.695678,good,reel
1414,TCP,1755622025.695716,good,reel
1414,TCP,1755622025.695716,good,reel
374,TCP,1755622025.722084,good,reel
54,TCP,1755622025.722084,good,reel
74,TCP,1755622025.722125,good,reel
1414,TCP,1755622025.722164,good,reel
1414,TCP,1755622025.722164,good,reel
1414,TCP,1755622025.722164,good,reel
74,TCP,1755622025.724046,good,reel
54,TCP,1755622025.763504,good,reel
86,TCP,1755622025.763504,good,reel
1414,TCP,1755622025.763563,good,reel
54,TCP,1755622025.770576,good,reel
246,TCP,1755622025.772938,good,reel
54,TCP,1755622025.782003,good,reel
1414,TCP,1755622025.782042,good,reel
1414,TCP,1755622025.782042,good,reel
1414,TCP,1755622025.782042,good,reel
66,TCP,1755622025.808307,good,reel
54,TCP,1755622025.808307,good,reel
54,TCP,1755622025.808307,good,reel
74,TCP,1755622025.808307,good,reel
74,TCP,1755622025.808307,good,reel
54,TCP,1755622025.808357,good,reel
74,TCP,1755622025.808424,good,reel
74,TCP,1755622025.81879,good,reel
74,TCP,1755622025.81879,good,reel
74,TCP,1755622025.818826,good,reel
74,TCP,1755622025.818849,good,reel
54,TCP,1755622025.854365,good,reel
1414,TCP,1755622025.854403,good,reel
1414,TCP,1755622025.854403,good,reel
54,TCP,1755622025.966499,good,reel
1414,TCP,1755622025.966542,good,reel
1414,TCP,1755622025.966542,good,reel
1414,TCP,1755622025.966542,good,reel
54,TCP,1755622025.972417,good,reel
1414,TCP,1755622025.972445,good,reel
1414,TCP,1755622025.972445,good,reel
54,TCP,1755622026.0023,good,reel
1414,TCP,1755622026.002358,good,reel
1414,TCP,1755622026.002358,good,reel
1414,TCP,1755622026.002358,good,reel
86,TCP,1755622026.03832,good,reel
54,TCP,1755622026.092443,good,reel
1414,TCP,1755622026.092519,good,reel
86,TCP,1755622026.099231,good,reel
54,TCP,1755622026.13946,good,reel
1414,TCP,1755622026.1395,good,reel
1414,TCP,1755622026.1395,good,reel
74,TCP,1755622026.190125,good,reel
54,TCP,1755622026.227685,good,reel
1414,TCP,1755622026.227722,good,reel
1414,TCP,1755622026.227722,good,reel
1414,TCP,1755622026.227722,good,reel
232,TCP,1755622026.240614,good,reel
54,TCP,1755622026.2435,good,reel
1414,TCP,1755622026.243547,good,reel
1414,TCP,1755622026.243547,good,reel
54,TCP,1755622026.271615,good,reel
74,TCP,1755622026.271615,good,reel
74,TCP,1755622026.295654,good,reel
54,TCP,1755622026.3187,good,reel
1414,TCP,1755622026.318817,good,reel
1414,TCP,1755622026.318817,good,reel
1414,TCP,1755622026.318817,good,reel
54,TCP,1755622026.343719,good,reel
1414,TCP,1755622026.343802,good,reel
1414,TCP,1755622026.343802,good,reel
1304,TCP,1755622026.343802,good,reel
78,TCP,1755622026.350051,good,reel
54,TCP,1755622026.350051,good,reel
54,TCP,1755622026.350138,good,reel
54,TCP,1755622026.428376,good,reel
1414,TCP,1755622026.428437,good,reel
1414,TCP,1755622026.428437,good,reel
54,TCP,1755622026.478733,good,reel
1414,TCP,1755622026.478769,good,reel
54,TCP,1755622026.513536,good,reel
1414,TCP,1755622026.513575,good,reel
1414,TCP,1755622026.513575,good,reel
1414,TCP,1755622026.513575,good,reel
54,TCP,1755622026.528292,good,reel
1414,TCP,1755622026.528329,good,reel
1414,TCP,1755622026.528329,good,reel
54,TCP,1755622026.549205,good,reel
1414,TCP,1755622026.549253,good,reel
1414,TCP,1755622026.549253,good,reel
1414,TCP,1755622026.549253,good,reel
54,TCP,1755622026.600689,good,reel
54,TCP,1755622026.600721,good,reel
54,TCP,1755622026.618421,good,reel
1414,TCP,1755622026.618454,good,reel
54,TCP,1755622026.639619,good,reel
1414,TCP,1755622026.639653,good,reel
1414,TCP,1755622026.639653,good,reel
