packet_size,protocol,duration,network,label
1292,UDP,1755622390.841742,good,non-reel
1292,UDP,1755622390.841742,good,non-reel
1292,UDP,1755622390.842014,good,non-reel
1292,UDP,1755622390.842014,good,non-reel
1292,UDP,1755622390.844932,good,non-reel
1292,UDP,1755622390.844932,good,non-reel
1292,UDP,1755622390.845177,good,non-reel
1292,UDP,1755622390.845177,good,non-reel
1292,UDP,1755622390.845177,good,non-reel
96,UDP,1755622390.845348,good,non-reel
1292,UDP,1755622390.845404,good,non-reel
1292,UDP,1755622390.845449,good,non-reel
1292,UDP,1755622390.845593,good,non-reel
98,UDP,1755622390.84765,good,non-reel
1292,UDP,1755622390.850232,good,non-reel
1292,UDP,1755622390.850232,good,non-reel
1292,UDP,1755622390.85058,good,non-reel
1292,UDP,1755622390.85058,good,non-reel
96,UDP,1755622390.850691,good,non-reel
1292,UDP,1755622390.853946,good,non-reel
1292,UDP,1755622390.854136,good,non-reel
1292,UDP,1755622390.854136,good,non-reel
1292,UDP,1755622390.854418,good,non-reel
1292,UDP,1755622390.854418,good,non-reel
1292,UDP,1755622390.854675,good,non-reel
1292,UDP,1755622390.854675,good,non-reel
1292,UDP,1755622390.855043,good,non-reel
1292,UDP,1755622390.855141,good,non-reel
96,UDP,1755622390.855297,good,non-reel
95,UDP,1755622390.855372,good,non-reel
1292,UDP,1755622390.855516,good,non-reel
1292,UDP,1755622390.855516,good,non-reel
1292,UDP,1755622390.85555,good,non-reel
1292,UDP,1755622390.855723,good,non-reel
1292,UDP,1755622390.855886,good,non-reel
1292,UDP,1755622390.8561,good,non-reel
1292,UDP,1755622390.856245,good,non-reel
1292,UDP,1755622390.8564,good,non-reel
1292,UDP,1755622390.856554,good,non-reel
1292,UDP,1755622390.856688,good,non-reel
96,UDP,1755622390.856747,good,non-reel
1292,UDP,1755622390.856849,good,non-reel
1292,UDP,1755622390.856997,good,non-reel
1292,UDP,1755622390.857151,good,non-reel
1292,UDP,1755622390.857308,good,non-reel
1292,UDP,1755622390.85744,good,non-reel
1292,UDP,1755622390.860191,good,non-reel
1292,UDP,1755622390.860246,good,non-reel
1292,UDP,1755622390.860489,good,non-reel
1292,UDP,1755622390.863328,good,non-reel
1292,UDP,1755622390.863328,good,non-reel
96,UDP,1755622390.863524,good,non-reel
1292,UDP,1755622390.863568,good,non-reel
1292,UDP,1755622390.863621,good,non-reel
1292,UDP,1755622390.863762,good,non-reel
1292,UDP,1755622390.863915,good,non-reel
1292,UDP,1755622390.864067,good,non-reel
1292,UDP,1755622390.864201,good,non-reel
1292,UDP,1755622390.866103,good,non-reel
1292,UDP,1755622390.866103,good,non-reel
112,UDP,1755622390.866118,good,non-reel
1292,UDP,1755622390.86623,good,non-reel
1292,UDP,1755622390.866347,good,non-reel
1292,UDP,1755622390.8665,good,non-reel
1292,UDP,1755622390.866729,good,non-reel
1292,UDP,1755622390.866832,good,non-reel
1292,UDP,1755622390.866967,good,non-reel
1292,UDP,1755622390.867093,good,non-reel
1292,UDP,1755622390.867252,good,non-reel
97,UDP,1755622390.867329,good,non-reel
1292,UDP,1755622390.867426,good,non-reel
1292,UDP,1755622390.867565,good,non-reel
1292,UDP,1755622390.867694,good,non-reel
